title,cluster,x,y
100→0,1,6.5690403,9.738874
256死1クリア,2,7.465091,10.153295
30Km,6,8.843093,12.80299
4D Thinking♡,3,8.818555,10.086085
5年後もこのまま？,4,8.186528,9.847088
6 Seconds Magic!,3,8.402373,10.853955
AAA for Sale♡,0,8.286069,11.08902
Accessorism,5,6.0105505,10.25548
Accidentally Natural,5,6.946288,13.274364
Acid White,6,9.106072,12.799369
Acquire the Log,3,9.468454,10.254546
Ad-Safe Lullaby,4,8.106462,9.3916855
Aerobic Mind OS,5,6.2097664,13.0987015
After School OS,3,9.025092,10.481724
"After Tesla, We Begin Again",1,6.574303,12.251625
AFTERIMAGE SPEED,4,7.6478276,8.909923
Against the Throne of Masters,5,5.767384,12.678598
AI Ban Anthem,4,7.401439,11.631729
AIさんが言うなら,6,7.8830395,13.29358
Algorithm Blues,0,7.8495064,11.515505
Algorithm Hack Garbage Machine,3,8.678809,8.820997
Algorithm Human Parade,3,8.570936,10.259717
ALGORITHM ONLY COUNTS,7,6.2442236,10.631348
Algorithm Puppy Academy,3,8.7019,9.446617
Algorithm-sama ♡ Bless Me,3,8.891326,9.132896
"Alignment, not Success",6,9.039627,12.329035
Ambivalence makes you,6,8.126678,12.516164
AnchorじゃなくてPole,5,6.6822586,12.914168
Are You Numb to Yourself,4,7.915864,9.076782
Art = Science♡,5,5.80616,9.761163
Asset Value  Capital Value,0,7.818788,11.075132
Auto Focus,6,9.260852,12.222563
Auto-Play Ego,4,7.1188006,11.171297
AVERAGE WORLD,5,9.19635,9.404721
Awarded Into The Known,6,9.240612,12.764787
Axis or Invitation,0,7.035919,10.932058
"Baby, You’re Not Olympic Yet",4,6.8657427,8.550831
Bacchus Trance,5,7.6443353,12.384511
Baseline Pop!,3,8.562003,9.591763
Bathymetry Protocol,5,7.688258,12.889463
Before You Fear Boredom,6,9.417313,12.338434
Belief Not Required,5,5.1370907,10.058632
Beyond the Unnoticed,6,8.433634,12.982016
Blame the Tool,2,7.3002315,11.241583
Blur to Survive,5,6.1145415,11.554067
"Boil the Water, Take Responsibility♡",5,7.5390925,10.556181
"Boring No, You Just Stopped Looking.",4,7.7984276,9.513844
Born Without a Future,0,6.3249726,11.746278
Born.exe (Not My Choice),0,7.7218227,10.889174
Borrowed Feelings Parade,0,8.812181,11.18265
"Borrowed Flag, Borrowed Pride",4,6.5959954,10.193279
Borrowed Goodness Parade,0,6.649261,10.618159
Borrowed Tomorrow,5,7.782769,13.022713
Bows and Waves,5,8.136327,12.495233
Branching Dreams Theater,5,6.0412383,9.545337
Broken Receiver Parade,3,9.450281,9.65984
Bubblegum Tulip School,3,8.50188,8.959313
Buffered Humanity,4,7.987021,8.553839
Buggy Beauty Syndrome,2,7.4103236,9.531798
Burn Mandate♡ChildChain,1,6.218858,12.000508
Calculated Madness,2,6.831007,9.30125
Call Me Pavlov,0,8.118831,11.311558
Can You Judge Without Seeing？,5,7.86945,12.089388
Can’t Select You,3,9.243315,9.807313
Capital Referee,4,7.3942842,10.638682
Capitalist Feminism,7,5.9932504,11.676178
Card Quest Literacy,5,6.7589564,12.636536
Carnegie vs The Fund Managers,5,7.2291493,12.701208
CAST TIME,4,7.6432405,8.344874
CAUSE  EFFECT,7,5.529221,11.169817
Certified Good Neighbor™,7,5.201513,10.718626
Chaos Giant,0,7.008771,11.834178
Character OS,3,9.110149,10.980695
Chasing Zeroes,5,8.429346,11.729068
Cherry-Picked Circus♡,2,5.797335,9.371209
Circulate My Groove,2,5.930277,10.362867
Circulation Swing♡,4,7.259214,9.092672
Circulationism,5,6.265405,12.475512
Cite Me If You Can,7,5.7384734,11.3563595
Class Ranking Wonderland,4,8.117844,10.5181465
Closed Not Closed,0,6.556297,10.878859
Cognitive Breakdown Parade,4,7.4111295,8.460291
Cognitive Labyrinth,6,9.380069,11.593295
Color Vector,6,7.636033,12.850169
Comfort Zone Parade,4,6.9031897,8.747931
Common Sense,5,5.209407,10.254143
Commoner.exe,2,7.5721197,9.675614
Community Dependency Syndrome,0,6.9176226,11.099777
COMPACTED DIGNITY,4,5.472047,12.16936
Company Playtime,0,6.6468134,11.277905
Compliance Candy Panic,4,7.005252,8.379634
Concept over Quality,0,8.264012,11.826395
Confliction by Design,4,5.077496,10.4367695
"Connect, Don’t Stack ♡",0,6.7899556,11.798962
CONNECTED! (No One’s Home),3,8.345426,9.088455
Consent.exe,3,7.636922,10.075632
consideration,5,7.4979405,11.965846
Consistency Carnival,2,6.983563,9.602204
Constant Open Valve,5,8.456451,12.0073
Conversation Music,6,8.445961,12.188492
